x i1 i2 i3 i4 i5 i6 i7 i8
2.180000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000786 0.000939
2.190000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000786 0.000939
2.200000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000787 0.000939
2.210000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000787 0.000939
2.220000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000787 0.000939
2.230000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000638 0.000787 0.000939
2.240000 0.000000 0.000097 0.000219 0.000352 0.000492 0.000638 0.000787 0.000939
2.250000 0.000000 0.000097 0.000219 0.000352 0.000492 0.000638 0.000787 0.000940
2.260000 0.000000 0.000097 0.000219 0.000352 0.000492 0.000638 0.000787 0.000940
2.270000 0.000000 0.000097 0.000219 0.000352 0.000492 0.000638 0.000787 0.000940
2.280000 0.000000 0.000097 0.000219 0.000352 0.000493 0.000638 0.000787 0.000940
2.290000 0.000000 0.000097 0.000219 0.000352 0.000493 0.000638 0.000787 0.000940
2.300000 0.000000 0.000097 0.000219 0.000352 0.000493 0.000638 0.000788 0.000940
2.310000 0.000000 0.000097 0.000219 0.000352 0.000493 0.000638 0.000788 0.000940
2.320000 0.000000 0.000097 0.000219 0.000352 0.000493 0.000638 0.000788 0.000940
2.330000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000638 0.000788 0.000941
2.340000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000638 0.000788 0.000941
2.350000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000639 0.000788 0.000941
2.360000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000639 0.000788 0.000941
2.370000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000639 0.000788 0.000941
2.380000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000639 0.000788 0.000941
2.390000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000639 0.000788 0.000941
2.400000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000639 0.000789 0.000941
2.410000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000639 0.000789 0.000942
2.420000 0.000000 0.000097 0.000219 0.000353 0.000493 0.000639 0.000789 0.000942
